Date,Year,Month,MonthName
2023-01-01,2023,1,January
2023-02-01,2023,2,February
2023-03-01,2023,3,March
2023-04-01,2023,4,April
2023-05-01,2023,5,May
2023-06-01,2023,6,June
2023-07-01,2023,7,July
2023-08-01,2023,8,August
2023-09-01,2023,9,September
2023-10-01,2023,10,October
2023-11-01,2023,11,November
2023-12-01,2023,12,December
2024-01-01,2024,1,January
2024-02-01,2024,2,February
2024-03-01,2024,3,March
2024-04-01,2024,4,April
2024-05-01,2024,5,May
2024-06-01,2024,6,June
2024-07-01,2024,7,July
2024-08-01,2024,8,August
2024-09-01,2024,9,September
2024-10-01,2024,10,October
2024-11-01,2024,11,November
2024-12-01,2024,12,December
